UNIT FILE                                                                 STATE           PRESET
nm-cloud-setup.timer                                                      disabled        disabled
paccache.timer                                                            disabled        disabled
pacman-filesdb-refresh.timer                                              disabled        disabled
pkgfile-update.timer                                                      disabled        disabled
reflector.timer                                                           disabled        disabled
shadow.timer                                                              static          -
snapper-boot.timer                                                        disabled        disabled
snapper-cleanup.timer                                                     disabled        disabled
snapper-timeline.timer                                                    disabled        disabled
systemd-sysupdate-reboot.timer                                            disabled        disabled
systemd-sysupdate.timer                                                   disabled        disabled
systemd-tmpfiles-clean.timer                                              static          -
updatedb.timer                                                            static          -
xfs_scrub_all.timer                                                       disabled        disabled

518 unit files listed.
